Date,Open,High,Low,Close,Adj Close,Volume
2001-12-24,90.349998,90.449997,90.089996,90.150002,61.755547,3200
2001-12-26,90.250000,91.040001,90.250000,90.250000,61.824085,4300
2001-12-27,90.790001,91.000000,90.650002,90.739998,62.159718,900
2001-12-28,91.389999,91.889999,91.389999,91.629997,62.769405,3700
2001-12-31,91.599998,91.889999,91.209999,91.739998,62.844761,3800
2002-01-02,90.800003,90.800003,89.599998,90.550003,62.029572,2500
2002-01-03,90.800003,91.589996,90.800003,91.500000,62.680359,10900
2002-01-04,92.199997,93.599998,92.199997,93.540001,64.077812,4000
2002-01-07,93.750000,93.989998,92.949997,93.150002,63.810642,25000
2002-01-08,92.750000,92.750000,91.089996,91.150002,62.440582,2000
2002-01-09,91.949997,92.739998,91.470001,91.470001,62.659782,3400
2002-01-10,92.400002,92.400002,92.000000,92.000000,63.022861,3000
2002-01-11,92.500000,92.500000,90.949997,90.949997,62.303566,4500
2002-01-14,90.550003,90.750000,90.059998,90.269997,61.837749,1600
2002-01-15,91.000000,91.949997,91.000000,91.949997,62.988598,4700
2002-01-16,90.699997,91.599998,90.550003,90.849998,62.235069,3600
2002-01-17,91.419998,91.839996,91.260002,91.750000,62.851578,2500
2002-01-18,91.099998,91.800003,91.050003,91.050003,62.372093,3300
2002-01-22,91.500000,91.949997,90.949997,90.949997,62.303566,4300
2002-01-23,90.750000,91.849998,90.709999,91.400002,62.611832,13700
2002-01-24,91.900002,92.589996,91.750000,92.000000,63.022861,3000
2002-01-25,91.599998,92.500000,91.599998,92.269997,63.207848,5400
2002-01-28,92.269997,92.269997,91.000000,91.290001,62.536503,1500
2002-01-29,91.900002,91.900002,86.949997,87.599998,60.008728,7100
2002-01-30,87.500000,88.650002,85.800003,87.050003,59.631943,12200
2002-01-31,89.050003,89.800003,88.730003,89.750000,61.481529,2100
2002-02-01,89.199997,89.500000,88.599998,89.400002,61.241802,6800
